Dec,BIN,Rsense Value
421,0b110100101,104.3483184
422,0b110100110,122.0465373
423,0b110100111,97.29525913
424,0b110101000,128.1013381
425,0b110101001,101.1049052
426,0b110101010,117.6328783
427,0b110101011,94.46954582
428,0b110101100,114.5183044
429,0b110101101,92.45027285
430,0b110101110,106.0790347
431,0b110101111,86.87092979
432,0b110110000,121.6363463
433,0b110110001,97.0343948
434,0b110110010,112.1587758
435,0b110110011,90.90637129
436,0b110110100,109.3238405
437,0b110110101,89.03504166
438,0b110110110,101.6070102
439,0b110110111,83.84873851
440,0b110111000,105.7690178
441,0b110111001,86.66290981
442,0b110111010,98.52925918
443,0b110111011,81.74164174
444,0b110111100,96.33472137
445,0b110111101,80.22546234
446,0b110111110,90.29200067
447,0b110111111,75.99029331
448,0b111000000,136.8891629
449,0b111000001,106.5010655
450,0b111000010,125.0017947
451,0b111000011,99.1642203
452,0b111000100,121.4906077
453,0b111000101,96.94162545
454,0b111000110,112.0348519
455,0b111000111,90.82494437
456,0b111001000,117.1163455
457,0b111001001,94.13611958
458,0b111001010,108.3045462
459,0b111001011,88.35779966
460,0b111001100,105.6588049
461,0b111001101,86.5889043
462,0b111001110,98.4336109
463,0b111001111,81.6757994
464,0b111010000,111.6891026
465,0b111010001,90.59758175
466,0b111010010,103.6470288
467,0b111010011,85.23312886
468,0b111010100,101.2214007
469,0b111010101,83.58596502
470,0b111010110,94.57124454
471,0b111010111,78.99870127
472,0b111011000,98.16661503
473,0b111011001,81.4918895
474,0b111011010,91.89936899
475,0b111011011,77.12559225
476,0b111011100,89.98736381
477,0b111011101,75.77440343
478,0b111011110,84.69282028
479,0b111011111,71.98504899
480,0b111100000,105.2127293
481,0b111100001,86.28908985
482,0b111100010,98.04634501
483,0b111100011,81.40899058
484,0b111100100,95.87302908
485,0b111100101,79.90501286
486,0b111100110,89.88629035
487,0b111100111,75.70272373
488,0b111101000,93.12815737
489,0b111101001,77.98920001
490,0b111101010,87.46919828
491,0b111101011,73.98095029
492,0b111101100,85.73535396
493,0b111101101,72.73681055
494,0b111101110,80.91593795
495,0b111101111,69.23816303
496,0b111110000,89.66359716
497,0b111110001,75.54470344
498,0b111110010,84.40597072
499,0b111110011,71.77771697
500,0b111110100,82.79031906
501,0b111110101,70.60599062
502,0b111110110,78.28761878
503,0b111110111,67.30467402
504,0b111111000,80.73543032
505,0b111111001,69.10595485
506,0b111111010,76.44768574
507,0b111111011,65.94027755
508,0b111111100,75.11994101
509,0b111111101,64.95007187
510,0b111111110,71.39415184
511,0b111111111,62.14597483
512,0b1000000000,3009.44
513,0b1000000001,413.7899679
514,0b1000000010,973.716762
515,0b1000000011,321.3997667
516,0b1000000100,794.7884045
517,0b1000000101,299.1688707
518,0b1000000110,512.058603
519,0b1000000111,247.6903668
520,0b1000001000,638.7224148
521,0b1000001001,273.9709073
522,0b1000001010,442.4132168
523,0b1000001011,230.1640297
524,0b1000001100,401.3591429
525,0b1000001101,218.5347462
526,0b1000001110,313.8496435
527,0b1000001111,189.7304117
528,0b1000010000,504.9147088
529,0b1000010001,246.0067106
530,0b1000010010,373.7985911
531,0b1000010011,210.1001565
532,0b1000010100,344.0633742
533,0b1000010101,200.367131
534,0b1000010110,277.6893602
535,0b1000010111,175.8846801
536,0b1000011000,311.151341
537,0b1000011001,188.7409468
538,0b1000011010,255.8477138
539,0b1000011011,166.8621086
540,0b1000011100,241.5587939
541,0b1000011101,160.6638334
542,0b1000011110,206.8473135
543,0b1000011111,144.5320398
544,0b1000100000,394.997606
545,0b1000100001,216.6350522
546,0b1000100010,309.946249
547,0b1000100011,188.2968564
548,0b1000100100,289.2204898
549,0b1000100101,180.4413508
550,0b1000100110,240.8318534
551,0b1000100111,160.3419286
552,0b1000101000,265.6043539
553,0b1000101001,170.9578288
554,0b1000101010,224.2301544
555,0b1000101011,152.8093839
556,0b1000101100,213.1783759
557,0b1000101101,147.5948414
558,0b1000101110,185.67991
559,0b1000101111,133.8686382
560,0b1000110000,239.2398471
561,0b1000110001,159.6346807
562,0b1000110010,205.1445891
563,0b1000110011,143.6986442
564,0b1000110100,195.8551382
565,0b1000110101,139.077963
566,0b1000110110,172.3983535
567,0b1000110111,126.8244219
568,0b1000111000,184.7321362
569,0b1000111001,133.3752923
570,0b1000111010,163.7210986
571,0b1000111011,122.0651642
572,0b1000111100,157.7498041
573,0b1000111101,118.7148031
574,0b1000111110,142.1695087
575,0b1000111111,109.6701154
576,0b1001000000,306.3857846
577,0b1001000001,186.9768303
578,0b1001000010,252.6168608
579,0b1001000011,165.481784
580,0b1001000100,238.6767127
581,0b1001000101,159.3837581
582,0b1001000110,204.7303883
583,0b1001000111,143.4952873
584,0b1001001000,222.3607477
585,0b1001001001,151.9388802
586,0b1001001010,192.6076578
587,0b1001001011,137.4325088
588,0b1001001100,184.3961953
589,0b1001001101,133.2000865
590,0b1001001110,163.4571756
591,0b1001001111,121.9183969
592,0b1001010000,203.5787606
593,0b1001010001,142.9285862
594,0b1001010010,178.3545768
595,0b1001010011,130.0186215
596,0b1001010100,171.2911696
597,0b1001010101,126.2242202
598,0b1001010110,153.075653
599,0b1001010111,116.0481237
600,0b1001011000,162.7222418
601,0b1001011001,121.5090653
602,0b1001011010,146.1957024
603,0b1001011011,112.050548
604,0b1001011100,141.4157093
605,0b1001011101,109.2210122
606,0b1001011110,128.7655036
607,0b1001011111,101.5181803
608,0b1001100000,183.0418272
609,0b1001100001,132.4919315
610,0b1001100010,162.3920443
611,0b1001100011,121.3248521
612,0b1001100100,156.515564
613,0b1001100101,118.0144559
614,0b1001100110,141.1662552
615,0b1001100111,109.0721507
616,0b1001101000,149.3301843
617,0b1001101001,113.8826734
618,0b1001101010,135.2946595
619,0b1001101011,105.5334124
620,0b1001101100,131.1909232
621,0b1001101101,103.0197583
622,0b1001101110,120.2330088
623,0b1001101111,96.13923328
624,0b1001110000,140.6177655
625,0b1001110001,108.7444193
626,0b1001110010,128.1035992
627,0b1001110011,101.1063137
628,0b1001110100,124.418565
629,0b1001110101,98.7968228
630,0b1001110110,114.5201114
631,0b1001110111,92.45145053
632,0b1001111000,119.8348977
633,0b1001111001,95.88452299
634,0b1001111010,110.6253487
635,0b1001111011,89.89639355
636,0b1001111100,107.8664482
637,0b1001111101,88.06599558
638,0b1001111110,100.3469163
639,0b1001111111,82.98875329
640,0b1010000000,235.2312295
641,0b1010000001,157.839905
642,0b1010000010,202.1900752
643,0b1010000011,142.2426865
644,0b1010000100,193.160384
645,0b1010000101,137.7136892
646,0b1010000110,170.3069795
647,0b1010000111,125.6889766
648,0b1010001000,182.3328967
649,0b1010001001,132.1200996
650,0b1010001010,161.8338026
651,0b1010001011,121.0129847
652,0b1010001100,155.9969289
653,0b1010001101,117.7193544
654,0b1010001110,140.7442189
655,0b1010001111,108.8200286
656,0b1010010000,169.5093094
657,0b1010010001,125.2539799
658,0b1010010010,151.6510409
659,0b1010010011,115.2275088
660,0b1010010100,146.5139257
661,0b1010010101,112.237388
662,0b1010010110,132.9788164
663,0b1010010111,104.1190324
664,0b1010011000,140.1989976
665,0b1010011001,108.4938082
666,0b1010011010,127.7559584
667,0b1010011011,100.8896366
668,0b1010011100,124.0906114
669,0b1010011101,98.58992123
670,0b1010011110,114.2422063
