Dec,BIN,Rsense Value
976,0b1111010000,114.3056974
977,0b1111010001,92.31166125
978,0b1111010010,105.8965837
979,0b1111010011,86.74853261
980,0b1111010100,103.3658068
981,0b1111010101,85.0428626
982,0b1111010110,96.44053375
983,0b1111010111,80.29883183
984,0b1111011000,100.1822524
985,0b1111011001,82.87609787
986,0b1111011010,93.66354085
987,0b1111011011,78.36431653
988,0b1111011100,91.67821531
989,0b1111011101,76.96976831
990,0b1111011110,86.18890346
991,0b1111011111,73.06299639
992,0b1111100000,107.5315217
993,0b1111100001,87.84261735
994,0b1111100010,100.0569958
995,0b1111100011,82.7903603
996,0b1111100100,97.7946573
997,0b1111100101,81.2353972
998,0b1111100110,91.57331007
999,0b1111100111,76.89581034
1000,0b1111101000,94.94028733
1001,0b1111101001,79.25604847
1002,0b1111101010,89.06590225
1003,0b1111101011,75.11997496
1004,0b1111101100,87.26882962
1005,0b1111101101,73.83756232
1006,0b1111101110,82.2804856
1007,0b1111101111,70.2348435
1008,0b1111110000,91.34219
1009,0b1111110001,76.73277532
1010,0b1111110010,85.89184787
1011,0b1111110011,72.84941767
1012,0b1111110100,84.21937543
1013,0b1111110101,71.64273453
1014,0b1111110110,79.56426012
1015,0b1111110111,68.2460883
1016,0b1111111000,82.09384558
1017,0b1111111001,70.0988054
1018,0b1111111010,77.66455805
1019,0b1111111011,66.84365396
1020,0b1111111100,76.29458632
1021,0b1111111101,65.82634024
1022,0b1111111110,72.45434467
1023,0b1111111111,62.94774701
